symbol,date,price
keunbong,Jan 2000,39.81
keunbong,Feb 2000,36.35
keunbong,Mar 2000,43.22
keunbong,Apr 2000,28.37
keunbong,May 2000,25.45
keunbong,Jun 2000,32.54
keunbong,Jul 2000,28.4
keunbong,Aug 2000,28.4
keunbong,Sep 2000,24.53
keunbong,Oct 2000,28.02
keunbong,Nov 2000,23.34
keunbong,Dec 2000,17.65
keunbong,Jan 2001,24.84
keunbong,Feb 2001,24
keunbong,Mar 2001,22.25
keunbong,Apr 2001,27.56
keunbong,May 2001,28.14
keunbong,Jun 2001,29.7
keunbong,Jul 2001,26.93
keunbong,Aug 2001,23.21
keunbong,Sep 2001,20.82
keunbong,Oct 2001,23.65
keunbong,Nov 2001,26.12
keunbong,Dec 2001,26.95
keunbong,Jan 2002,25.92
keunbong,Feb 2002,23.73
keunbong,Mar 2002,24.53
keunbong,Apr 2002,21.26
keunbong,May 2002,20.71
keunbong,Jun 2002,22.25
keunbong,Jul 2002,19.52
keunbong,Aug 2002,19.97
keunbong,Sep 2002,17.79
keunbong,Oct 2002,21.75
keunbong,Nov 2002,23.46
keunbong,Dec 2002,21.03
keunbong,Jan 2003,19.31
keunbong,Feb 2003,19.34
keunbong,Mar 2003,19.76
keunbong,Apr 2003,20.87
keunbong,May 2003,20.09
keunbong,Jun 2003,20.93
keunbong,Jul 2003,21.56
keunbong,Aug 2003,21.65
keunbong,Sep 2003,22.69
keunbong,Oct 2003,21.45
keunbong,Nov 2003,21.1
keunbong,Dec 2003,22.46
keunbong,Jan 2004,22.69
keunbong,Feb 2004,21.77
keunbong,Mar 2004,20.46
keunbong,Apr 2004,21.45
keunbong,May 2004,21.53
keunbong,Jun 2004,23.44
keunbong,Jul 2004,23.38
keunbong,Aug 2004,22.47
keunbong,Sep 2004,22.76
keunbong,Oct 2004,23.02
keunbong,Nov 2004,24.6
keunbong,Dec 2004,24.52
keunbong,Jan 2005,24.11
keunbong,Feb 2005,23.15
keunbong,Mar 2005,22.24
keunbong,Apr 2005,23.28
keunbong,May 2005,23.82
keunbong,Jun 2005,22.93
keunbong,Jul 2005,23.64
keunbong,Aug 2005,25.35
keunbong,Sep 2005,23.83
keunbong,Oct 2005,23.8
keunbong,Nov 2005,25.71
keunbong,Dec 2005,24.29
keunbong,Jan 2006,26.14
keunbong,Feb 2006,25.04
keunbong,Mar 2006,25.36
keunbong,Apr 2006,22.5
keunbong,May 2006,21.19
keunbong,Jun 2006,21.8
keunbong,Jul 2006,22.51
keunbong,Aug 2006,24.13
keunbong,Sep 2006,25.68
keunbong,Oct 2006,26.96
keunbong,Nov 2006,27.66
keunbong,Dec 2006,28.13
keunbong,Jan 2007,29.07
keunbong,Feb 2007,26.63
keunbong,Mar 2007,26.35
keunbong,Apr 2007,28.3
keunbong,May 2007,29.11
keunbong,Jun 2007,27.95
keunbong,Jul 2007,27.5
keunbong,Aug 2007,27.34
keunbong,Sep 2007,28.04
keunbong,Oct 2007,35.03
keunbong,Nov 2007,32.09
keunbong,Dec 2007,34
keunbong,Jan 2008,31.13
keunbong,Feb 2008,26.07
keunbong,Mar 2008,27.21
keunbong,Apr 2008,27.34
keunbong,May 2008,27.25
keunbong,Jun 2008,26.47
keunbong,Jul 2008,24.75
keunbong,Aug 2008,26.36
keunbong,Sep 2008,25.78
keunbong,Oct 2008,21.57
keunbong,Nov 2008,19.66
keunbong,Dec 2008,18.91
keunbong,Jan 2009,16.63
keunbong,Feb 2009,15.81
keunbong,Mar 2009,17.99
keunbong,Apr 2009,19.84
keunbong,May 2009,20.59
keunbong,Jun 2009,23.42
keunbong,Jul 2009,23.18
keunbong,Aug 2009,24.43
keunbong,Sep 2009,25.49
keunbong,Oct 2009,27.48
keunbong,Nov 2009,29.27
keunbong,Dec 2009,30.34
keunbong,Jan 2010,28.05
keunbong,Feb 2010,28.67
keunbong,Mar 2010,28.8
sookeun,Jan 2000,64.56
sookeun,Feb 2000,68.87
sookeun,Mar 2000,67
sookeun,Apr 2000,55.19
sookeun,May 2000,48.31
sookeun,Jun 2000,36.31
sookeun,Jul 2000,30.12
sookeun,Aug 2000,41.5
sookeun,Sep 2000,38.44
sookeun,Oct 2000,36.62
sookeun,Nov 2000,24.69
sookeun,Dec 2000,15.56
sookeun,Jan 2001,17.31
sookeun,Feb 2001,10.19
sookeun,Mar 2001,10.23
sookeun,Apr 2001,15.78
sookeun,May 2001,16.69
sookeun,Jun 2001,14.15
sookeun,Jul 2001,12.49
sookeun,Aug 2001,8.94
sookeun,Sep 2001,5.97
sookeun,Oct 2001,6.98
sookeun,Nov 2001,11.32
sookeun,Dec 2001,10.82
sookeun,Jan 2002,14.19
sookeun,Feb 2002,14.1
sookeun,Mar 2002,14.3
sookeun,Apr 2002,16.69
sookeun,May 2002,18.23
sookeun,Jun 2002,16.25
sookeun,Jul 2002,14.45
sookeun,Aug 2002,14.94
sookeun,Sep 2002,15.93
sookeun,Oct 2002,19.36
sookeun,Nov 2002,23.35
sookeun,Dec 2002,18.89
sookeun,Jan 2003,21.85
sookeun,Feb 2003,22.01
sookeun,Mar 2003,26.03
sookeun,Apr 2003,28.69
sookeun,May 2003,35.89
sookeun,Jun 2003,36.32
sookeun,Jul 2003,41.64
sookeun,Aug 2003,46.32
sookeun,Sep 2003,48.43
sookeun,Oct 2003,54.43
sookeun,Nov 2003,53.97
sookeun,Dec 2003,52.62
sookeun,Jan 2004,50.4
sookeun,Feb 2004,43.01
sookeun,Mar 2004,43.28
sookeun,Apr 2004,43.6
sookeun,May 2004,48.5
sookeun,Jun 2004,54.4
sookeun,Jul 2004,38.92
sookeun,Aug 2004,38.14
sookeun,Sep 2004,40.86
sookeun,Oct 2004,34.13
sookeun,Nov 2004,39.68
sookeun,Dec 2004,44.29
sookeun,Jan 2005,43.22
sookeun,Feb 2005,35.18
sookeun,Mar 2005,34.27
sookeun,Apr 2005,32.36
sookeun,May 2005,35.51
sookeun,Jun 2005,33.09
sookeun,Jul 2005,45.15
sookeun,Aug 2005,42.7
sookeun,Sep 2005,45.3
sookeun,Oct 2005,39.86
sookeun,Nov 2005,48.46
sookeun,Dec 2005,47.15
sookeun,Jan 2006,44.82
sookeun,Feb 2006,37.44
sookeun,Mar 2006,36.53
sookeun,Apr 2006,35.21
sookeun,May 2006,34.61
sookeun,Jun 2006,38.68
sookeun,Jul 2006,26.89
sookeun,Aug 2006,30.83
sookeun,Sep 2006,32.12
sookeun,Oct 2006,38.09
sookeun,Nov 2006,40.34
sookeun,Dec 2006,39.46
sookeun,Jan 2007,37.67
sookeun,Feb 2007,39.14
sookeun,Mar 2007,39.79
sookeun,Apr 2007,61.33
sookeun,May 2007,69.14
sookeun,Jun 2007,68.41
sookeun,Jul 2007,78.54
sookeun,Aug 2007,79.91
sookeun,Sep 2007,93.15
sookeun,Oct 2007,89.15
sookeun,Nov 2007,90.56
sookeun,Dec 2007,92.64
sookeun,Jan 2008,77.7
sookeun,Feb 2008,64.47
sookeun,Mar 2008,71.3
sookeun,Apr 2008,78.63
sookeun,May 2008,81.62
sookeun,Jun 2008,73.33
sookeun,Jul 2008,76.34
sookeun,Aug 2008,80.81
sookeun,Sep 2008,72.76
sookeun,Oct 2008,57.24
sookeun,Nov 2008,42.7
sookeun,Dec 2008,51.28
sookeun,Jan 2009,58.82
sookeun,Feb 2009,64.79
sookeun,Mar 2009,73.44
sookeun,Apr 2009,80.52
sookeun,May 2009,77.99
sookeun,Jun 2009,83.66
sookeun,Jul 2009,85.76
sookeun,Aug 2009,81.19
sookeun,Sep 2009,93.36
sookeun,Oct 2009,118.81
sookeun,Nov 2009,135.91
sookeun,Dec 2009,134.52
sookeun,Jan 2010,125.41
sookeun,Feb 2010,118.4
sookeun,Mar 2010,128.82
wonsuk,Jan 2000,100.52
wonsuk,Feb 2000,92.11
wonsuk,Mar 2000,106.11
wonsuk,Apr 2000,99.95
wonsuk,May 2000,96.31
wonsuk,Jun 2000,98.33
wonsuk,Jul 2000,100.74
wonsuk,Aug 2000,118.62
wonsuk,Sep 2000,101.19
wonsuk,Oct 2000,88.5
wonsuk,Nov 2000,84.12
wonsuk,Dec 2000,76.47
wonsuk,Jan 2001,100.76
wonsuk,Feb 2001,89.98
wonsuk,Mar 2001,86.63
wonsuk,Apr 2001,103.7
wonsuk,May 2001,100.82
wonsuk,Jun 2001,102.35
wonsuk,Jul 2001,94.87
wonsuk,Aug 2001,90.25
wonsuk,Sep 2001,82.82
wonsuk,Oct 2001,97.58
wonsuk,Nov 2001,104.5
wonsuk,Dec 2001,109.36
wonsuk,Jan 2002,97.54
wonsuk,Feb 2002,88.82
wonsuk,Mar 2002,94.15
wonsuk,Apr 2002,75.82
wonsuk,May 2002,72.97
wonsuk,Jun 2002,65.31
wonsuk,Jul 2002,63.86
wonsuk,Aug 2002,68.52
wonsuk,Sep 2002,53.01
wonsuk,Oct 2002,71.76
wonsuk,Nov 2002,79.16
wonsuk,Dec 2002,70.58
wonsuk,Jan 2003,71.22
wonsuk,Feb 2003,71.13
wonsuk,Mar 2003,71.57
wonsuk,Apr 2003,77.47
wonsuk,May 2003,80.48
wonsuk,Jun 2003,75.42
wonsuk,Jul 2003,74.28
wonsuk,Aug 2003,75.12
wonsuk,Sep 2003,80.91
wonsuk,Oct 2003,81.96
wonsuk,Nov 2003,83.08
wonsuk,Dec 2003,85.05
wonsuk,Jan 2004,91.06
wonsuk,Feb 2004,88.7
wonsuk,Mar 2004,84.41
wonsuk,Apr 2004,81.04
wonsuk,May 2004,81.59
wonsuk,Jun 2004,81.19
wonsuk,Jul 2004,80.19
wonsuk,Aug 2004,78.17
wonsuk,Sep 2004,79.13
wonsuk,Oct 2004,82.84
wonsuk,Nov 2004,87.15
wonsuk,Dec 2004,91.16
wonsuk,Jan 2005,86.39
wonsuk,Feb 2005,85.78
wonsuk,Mar 2005,84.66
wonsuk,Apr 2005,70.77
wonsuk,May 2005,70.18
wonsuk,Jun 2005,68.93
wonsuk,Jul 2005,77.53
wonsuk,Aug 2005,75.07
wonsuk,Sep 2005,74.7
wonsuk,Oct 2005,76.25
wonsuk,Nov 2005,82.98
wonsuk,Dec 2005,76.73
wonsuk,Jan 2006,75.89
wonsuk,Feb 2006,75.09
wonsuk,Mar 2006,77.17
wonsuk,Apr 2006,77.05
wonsuk,May 2006,75.04
wonsuk,Jun 2006,72.15
wonsuk,Jul 2006,72.7
wonsuk,Aug 2006,76.35
wonsuk,Sep 2006,77.26
wonsuk,Oct 2006,87.06
wonsuk,Nov 2006,86.95
wonsuk,Dec 2006,91.9
wonsuk,Jan 2007,93.79
wonsuk,Feb 2007,88.18
wonsuk,Mar 2007,89.44
wonsuk,Apr 2007,96.98
wonsuk,May 2007,101.54
wonsuk,Jun 2007,100.25
wonsuk,Jul 2007,105.4
wonsuk,Aug 2007,111.54
wonsuk,Sep 2007,112.6
wonsuk,Oct 2007,111
wonsuk,Nov 2007,100.9
wonsuk,Dec 2007,103.7
wonsuk,Jan 2008,102.75
wonsuk,Feb 2008,109.64
wonsuk,Mar 2008,110.87
wonsuk,Apr 2008,116.23
wonsuk,May 2008,125.14
wonsuk,Jun 2008,114.6
wonsuk,Jul 2008,123.74
wonsuk,Aug 2008,118.16
wonsuk,Sep 2008,113.53
wonsuk,Oct 2008,90.24
wonsuk,Nov 2008,79.65
wonsuk,Dec 2008,82.15
wonsuk,Jan 2009,89.46
wonsuk,Feb 2009,90.32
wonsuk,Mar 2009,95.09
wonsuk,Apr 2009,101.29
wonsuk,May 2009,104.85
wonsuk,Jun 2009,103.01
wonsuk,Jul 2009,116.34
wonsuk,Aug 2009,117
wonsuk,Sep 2009,118.55
wonsuk,Oct 2009,119.54
wonsuk,Nov 2009,125.79
wonsuk,Dec 2009,130.32
wonsuk,Jan 2010,121.85
wonsuk,Feb 2010,127.16
wonsuk,Mar 2010,125.55
byungwan,Jan 2000,25.94
byungwan,Feb 2000,28.66
byungwan,Mar 2000,33.95
byungwan,Apr 2000,31.01
byungwan,May 2000,21
byungwan,Jun 2000,26.19
byungwan,Jul 2000,25.41
byungwan,Aug 2000,30.47
byungwan,Sep 2000,12.88
byungwan,Oct 2000,9.78
byungwan,Nov 2000,8.25
byungwan,Dec 2000,7.44
byungwan,Jan 2001,10.81
byungwan,Feb 2001,9.12
byungwan,Mar 2001,11.03
byungwan,Apr 2001,12.74
byungwan,May 2001,9.98
byungwan,Jun 2001,11.62
byungwan,Jul 2001,9.4
byungwan,Aug 2001,9.27
byungwan,Sep 2001,7.76
byungwan,Oct 2001,8.78
byungwan,Nov 2001,10.65
byungwan,Dec 2001,10.95
byungwan,Jan 2002,12.36
byungwan,Feb 2002,10.85
byungwan,Mar 2002,11.84
byungwan,Apr 2002,12.14
byungwan,May 2002,11.65
byungwan,Jun 2002,8.86
byungwan,Jul 2002,7.63
byungwan,Aug 2002,7.38
byungwan,Sep 2002,7.25
byungwan,Oct 2002,8.03
byungwan,Nov 2002,7.75
byungwan,Dec 2002,7.16
byungwan,Jan 2003,7.18
byungwan,Feb 2003,7.51
byungwan,Mar 2003,7.07
byungwan,Apr 2003,7.11
byungwan,May 2003,8.98
byungwan,Jun 2003,9.53
byungwan,Jul 2003,10.54
byungwan,Aug 2003,11.31
byungwan,Sep 2003,10.36
byungwan,Oct 2003,11.44
byungwan,Nov 2003,10.45
byungwan,Dec 2003,10.69
byungwan,Jan 2004,11.28
byungwan,Feb 2004,11.96
byungwan,Mar 2004,13.52
byungwan,Apr 2004,12.89
byungwan,May 2004,14.03
byungwan,Jun 2004,16.27
byungwan,Jul 2004,16.17
byungwan,Aug 2004,17.25
byungwan,Sep 2004,19.38
byungwan,Oct 2004,26.2
byungwan,Nov 2004,33.53
byungwan,Dec 2004,32.2
byungwan,Jan 2005,38.45
byungwan,Feb 2005,44.86
byungwan,Mar 2005,41.67
byungwan,Apr 2005,36.06
byungwan,May 2005,39.76
byungwan,Jun 2005,36.81
byungwan,Jul 2005,42.65
byungwan,Aug 2005,46.89
byungwan,Sep 2005,53.61
byungwan,Oct 2005,57.59
byungwan,Nov 2005,67.82
byungwan,Dec 2005,71.89
byungwan,Jan 2006,75.51
byungwan,Feb 2006,68.49
byungwan,Mar 2006,62.72
byungwan,Apr 2006,70.39
byungwan,May 2006,59.77
byungwan,Jun 2006,57.27
byungwan,Jul 2006,67.96
byungwan,Aug 2006,67.85
byungwan,Sep 2006,76.98
byungwan,Oct 2006,81.08
byungwan,Nov 2006,91.66
byungwan,Dec 2006,84.84
byungwan,Jan 2007,85.73
byungwan,Feb 2007,84.61
byungwan,Mar 2007,92.91
byungwan,Apr 2007,99.8
byungwan,May 2007,121.19
byungwan,Jun 2007,122.04
byungwan,Jul 2007,131.76
byungwan,Aug 2007,138.48
byungwan,Sep 2007,153.47
byungwan,Oct 2007,189.95
byungwan,Nov 2007,182.22
byungwan,Dec 2007,198.08
byungwan,Jan 2008,135.36
byungwan,Feb 2008,125.02
byungwan,Mar 2008,143.5
byungwan,Apr 2008,173.95
byungwan,May 2008,188.75
byungwan,Jun 2008,167.44
byungwan,Jul 2008,158.95
byungwan,Aug 2008,169.53
byungwan,Sep 2008,113.66
byungwan,Oct 2008,107.59
byungwan,Nov 2008,92.67
byungwan,Dec 2008,85.35
byungwan,Jan 2009,90.13
byungwan,Feb 2009,89.31
byungwan,Mar 2009,105.12
byungwan,Apr 2009,125.83
byungwan,May 2009,135.81
byungwan,Jun 2009,142.43
byungwan,Jul 2009,163.39
byungwan,Aug 2009,168.21
byungwan,Sep 2009,185.35
byungwan,Oct 2009,188.5
byungwan,Nov 2009,199.91
byungwan,Dec 2009,210.73
byungwan,Jan 2010,192.06
byungwan,Feb 2010,204.62
byungwan,Mar 2010,223.02
